title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
"Nightflyers, La nave viviente",https://www.palomitacas.com/pelicula/ficha/p63381,63381,,,,
Legión,https://www.palomitacas.com/pelicula/ficha/p22894,22894,,,,
Cadena perpetua,https://www.palomitacas.com/pelicula/ficha/p278,278,10.0,10.0,24 de marzo - 2024,2024-03-24
Blue Beetle,https://www.palomitacas.com/pelicula/ficha/p565770,565770,8.0,8.0,17 de enero - 2024,2024-01-17
Aeropuerto 75,https://www.palomitacas.com/pelicula/ficha/p27932,27932,,,,
Aeropuerto 79. Concorde,https://www.palomitacas.com/pelicula/ficha/p29723,29723,,,,
Aeropuerto 77,https://www.palomitacas.com/pelicula/ficha/p7227,7227,,,,
Aeropuerto,https://www.palomitacas.com/pelicula/ficha/p10671,10671,,,,
Las minas del rey Salomón,https://www.palomitacas.com/pelicula/ficha/p9838,9838,,,,
Allan Quatermain y la ciudad perdida del oro,https://www.palomitacas.com/pelicula/ficha/p9710,9710,,,,
El reportero: La leyenda de Ron Burgundy,https://www.palomitacas.com/pelicula/ficha/p8699,8699,,,,
Los amos de la noticia,https://www.palomitacas.com/pelicula/ficha/p109443,109443,,,,
Asesinato en 8mm 2,https://www.palomitacas.com/pelicula/ficha/p7295,7295,,,,
Asesinato en 8mm,https://www.palomitacas.com/pelicula/ficha/p8224,8224,,,,
El coleccionista de amantes,https://www.palomitacas.com/pelicula/ficha/p9437,9437,,,,
La hora de la araña,https://www.palomitacas.com/pelicula/ficha/p2043,2043,,,,
Atlantis: El regreso de Milo,https://www.palomitacas.com/pelicula/ficha/p8965,8965,,,,
A 47 metros 2: El terror emerge,https://www.palomitacas.com/pelicula/ficha/p480105,480105,,,,
A 47 metros,https://www.palomitacas.com/pelicula/ficha/p403119,403119,,,,
American Graffiti,https://www.palomitacas.com/pelicula/ficha/p838,838,,,,
Austin Powers en Miembro de Oro,https://www.palomitacas.com/pelicula/ficha/p818,818,,,,
Austin Powers: La espía que me achuchó,https://www.palomitacas.com/pelicula/ficha/p817,817,,,,
Austin Powers: Misterioso agente internacional,https://www.palomitacas.com/pelicula/ficha/p816,816,,,,
Alerta máxima 2,https://www.palomitacas.com/pelicula/ficha/p3512,3512,,,,
Alerta máxima,https://www.palomitacas.com/pelicula/ficha/p8845,8845,,,,
Atómica,https://www.palomitacas.com/pelicula/ficha/p341013,341013,,,,
Ace Ventura Jr.: Detective de Mascotas,https://www.palomitacas.com/pelicula/ficha/p15338,15338,,,,
Ace Ventura: operación África,https://www.palomitacas.com/pelicula/ficha/p9273,9273,,,,
"Ace Ventura, un detective diferente",https://www.palomitacas.com/pelicula/ficha/p3049,3049,,,,
Antes del anochecer,https://www.palomitacas.com/pelicula/ficha/p132344,132344,,,,
Antes del atardecer,https://www.palomitacas.com/pelicula/ficha/p80,80,,,,
Antes de amanecer,https://www.palomitacas.com/pelicula/ficha/p76,76,,,,
Arma letal 3,https://www.palomitacas.com/pelicula/ficha/p943,943,,,,
Arma letal 4,https://www.palomitacas.com/pelicula/ficha/p944,944,,,,
Arma letal 2,https://www.palomitacas.com/pelicula/ficha/p942,942,,,,
Arma letal,https://www.palomitacas.com/pelicula/ficha/p941,941,,,,
Agárralo como puedas 33 1/3: el insulto final,https://www.palomitacas.com/pelicula/ficha/p36593,36593,,,,
Agárralo como puedas 2 1/2: el aroma del miedo,https://www.palomitacas.com/pelicula/ficha/p37137,37137,,,,
