title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
La caza,https://www.palomitacas.com/pelicula/ficha/p103663,103663,10.0,10.0,10 de agosto - 2021,2021-08-10
Doctor Who: el día del Doctor,https://www.palomitacas.com/pelicula/ficha/p313106,313106,,,,
Ricky Gervais: Humanity,https://www.palomitacas.com/pelicula/ficha/p508933,508933,,,,
El hombre sin rostro,https://www.palomitacas.com/pelicula/ficha/p10502,10502,,,,
Million Dollar Baby,https://www.palomitacas.com/pelicula/ficha/p70,70,,,,
Una historia del Bronx,https://www.palomitacas.com/pelicula/ficha/p1607,1607,,,,
Walkabout,https://www.palomitacas.com/pelicula/ficha/p36040,36040,,,,
John Wick: Capítulo 3 - Parabellum,https://www.palomitacas.com/pelicula/ficha/p458156,458156,,,,
John Wick: Pacto de sangre,https://www.palomitacas.com/pelicula/ficha/p324552,324552,,,,
Jurassic World: El reino caído,https://www.palomitacas.com/pelicula/ficha/p351286,351286,,,,
Jurassic Park III (Parque Jurásico III),https://www.palomitacas.com/pelicula/ficha/p331,331,,,,
El mundo perdido: Jurassic Park,https://www.palomitacas.com/pelicula/ficha/p330,330,,,,
Jurassic Park (Parque Jurásico),https://www.palomitacas.com/pelicula/ficha/p329,329,9.5,9.5,10 de agosto - 2021,2021-08-10
Casino Royale,https://www.palomitacas.com/pelicula/ficha/p36557,36557,,,,
Corazones de acero,https://www.palomitacas.com/pelicula/ficha/p228150,228150,,,,
John Wick (Otro día para matar),https://www.palomitacas.com/pelicula/ficha/p245891,245891,,,,
Chappie,https://www.palomitacas.com/pelicula/ficha/p198184,198184,,,,
Kingsman: Servicio secreto,https://www.palomitacas.com/pelicula/ficha/p207703,207703,,,,
Al filo del mañana,https://www.palomitacas.com/pelicula/ficha/p137113,137113,,,,
Jurassic World,https://www.palomitacas.com/pelicula/ficha/p135397,135397,,,,
El hogar de Miss Peregrine para niños peculiares,https://www.palomitacas.com/pelicula/ficha/p283366,283366,,,,
Sicario,https://www.palomitacas.com/pelicula/ficha/p273481,273481,8.5,8.5,10 de agosto - 2021,2021-08-10
Escuadrón suicida,https://www.palomitacas.com/pelicula/ficha/p297761,297761,,,,
Comanchería,https://www.palomitacas.com/pelicula/ficha/p338766,338766,8.0,8.0,10 de agosto - 2021,2021-08-10
El renacido,https://www.palomitacas.com/pelicula/ficha/p281957,281957,5.5,5.5,10 de agosto - 2021,2021-08-10
Batman v. Superman: El amanecer de la Justicia,https://www.palomitacas.com/pelicula/ficha/p209112,209112,,,,
Mad Max: Furia en la carretera,https://www.palomitacas.com/pelicula/ficha/p76341,76341,6.5,6.5,10 de agosto - 2021,2021-08-10
Múltiple,https://www.palomitacas.com/pelicula/ficha/p381288,381288,,,,
Animales fantásticos y dónde encontrarlos,https://www.palomitacas.com/pelicula/ficha/p259316,259316,,,,
Logan,https://www.palomitacas.com/pelicula/ficha/p263115,263115,,,,
Hasta el último hombre,https://www.palomitacas.com/pelicula/ficha/p324786,324786,,,,
Rogue One: Una historia de Star Wars,https://www.palomitacas.com/pelicula/ficha/p330459,330459,,,,
Atrápame si puedes,https://www.palomitacas.com/pelicula/ficha/p640,640,,,,
El hombre de acero,https://www.palomitacas.com/pelicula/ficha/p49521,49521,7.5,7.5,10 de agosto - 2021,2021-08-10
La llegada,https://www.palomitacas.com/pelicula/ficha/p329865,329865,8.5,8.5,10 de agosto - 2021,2021-08-10
Hijos de los hombres,https://www.palomitacas.com/pelicula/ficha/p9693,9693,,,,
District 9,https://www.palomitacas.com/pelicula/ficha/p17654,17654,,,,
Kick-Ass: Listo para machacar,https://www.palomitacas.com/pelicula/ficha/p23483,23483,,,,
No es país para viejos,https://www.palomitacas.com/pelicula/ficha/p6977,6977,,,,
Dos buenos tipos,https://www.palomitacas.com/pelicula/ficha/p290250,290250,7.5,7.5,10 de agosto - 2021,2021-08-10
La ley del más fuerte,https://www.palomitacas.com/pelicula/ficha/p164457,164457,6.0,6.0,10 de agosto - 2021,2021-08-10
Prisioneros,https://www.palomitacas.com/pelicula/ficha/p146233,146233,9.5,9.5,10 de agosto - 2021,2021-08-10
El luchador,https://www.palomitacas.com/pelicula/ficha/p12163,12163,7.5,7.5,10 de agosto - 2021,2021-08-10
Oblivion,https://www.palomitacas.com/pelicula/ficha/p75612,75612,,,,
Don Jon,https://www.palomitacas.com/pelicula/ficha/p138697,138697,6.5,6.5,10 de agosto - 2021,2021-08-10
Nightcrawler,https://www.palomitacas.com/pelicula/ficha/p242582,242582,8.5,8.5,10 de agosto - 2021,2021-08-10
Trance,https://www.palomitacas.com/pelicula/ficha/p68727,68727,,,,
Lost River,https://www.palomitacas.com/pelicula/ficha/p167810,167810,,,,
Bronson,https://www.palomitacas.com/pelicula/ficha/p18533,18533,,,,
Valhalla Rising,https://www.palomitacas.com/pelicula/ficha/p37861,37861,7.5,7.5,10 de agosto - 2021,2021-08-10
The Neon Demon,https://www.palomitacas.com/pelicula/ficha/p301365,301365,,,,
Lars y una chica de verdad,https://www.palomitacas.com/pelicula/ficha/p6615,6615,7.0,7.0,10 de agosto - 2021,2021-08-10
Los idus de marzo,https://www.palomitacas.com/pelicula/ficha/p10316,10316,6.5,6.5,10 de agosto - 2021,2021-08-10
Sólo Dios perdona,https://www.palomitacas.com/pelicula/ficha/p77987,77987,6.5,6.5,10 de agosto - 2021,2021-08-10
"Titanes, hicieron historia",https://www.palomitacas.com/pelicula/ficha/p10637,10637,7.0,7.0,10 de agosto - 2021,2021-08-10
Fracture,https://www.palomitacas.com/pelicula/ficha/p6145,6145,7.0,7.0,10 de agosto - 2021,2021-08-10
Drive,https://www.palomitacas.com/pelicula/ficha/p64690,64690,9.0,9.0,10 de agosto - 2021,2021-08-10
La ciudad de las estrellas: La La Land,https://www.palomitacas.com/pelicula/ficha/p313369,313369,5.5,5.5,10 de agosto - 2021,2021-08-10
The Game,https://www.palomitacas.com/pelicula/ficha/p2649,2649,8.0,8.0,10 de agosto - 2021,2021-08-10
La habitación del pánico,https://www.palomitacas.com/pelicula/ficha/p4547,4547,7.5,7.5,10 de agosto - 2021,2021-08-10
Zodiac,https://www.palomitacas.com/pelicula/ficha/p1949,1949,7.5,7.5,10 de agosto - 2021,2021-08-10
La red social,https://www.palomitacas.com/pelicula/ficha/p37799,37799,8.0,8.0,10 de agosto - 2021,2021-08-10
Millennium: Los hombres que no amaban a las mujeres,https://www.palomitacas.com/pelicula/ficha/p65754,65754,9.0,9.0,10 de agosto - 2021,2021-08-10
Perdida,https://www.palomitacas.com/pelicula/ficha/p210577,210577,9.5,9.5,10 de agosto - 2021,2021-08-10
Misión imposible 2,https://www.palomitacas.com/pelicula/ficha/p955,955,,,,
Mank,https://www.palomitacas.com/pelicula/ficha/p614560,614560,5.5,5.5,10 de agosto - 2021,2021-08-10
En nombre de Caín,https://www.palomitacas.com/pelicula/ficha/p13937,13937,6.5,6.5,10 de agosto - 2021,2021-08-10
Fascinación (Obsession),https://www.palomitacas.com/pelicula/ficha/p4780,4780,7.5,7.5,10 de agosto - 2021,2021-08-10
Hermanas,https://www.palomitacas.com/pelicula/ficha/p22307,22307,7.0,7.0,10 de agosto - 2021,2021-08-10
Corazones de hierro,https://www.palomitacas.com/pelicula/ficha/p10142,10142,8.0,8.0,10 de agosto - 2021,2021-08-10
