title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Critters ¡Al ataque!,https://www.palomitacas.com/pelicula/ficha/p597856,597856,3.0,3.0,02 de enero - 2026,2026-01-02
Apolo 13,https://www.palomitacas.com/pelicula/ficha/p568,568,6.5,6.5,31 de diciembre - 2025,2025-12-31
Rocky IV,https://www.palomitacas.com/pelicula/ficha/p1374,1374,5.0,5.0,29 de diciembre - 2025,2025-12-29
En compañía de lobos,https://www.palomitacas.com/pelicula/ficha/p11905,11905,,,,
100 Nights of Hero,https://www.palomitacas.com/pelicula/ficha/p1354518,1354518,,,,
La bruja novata,https://www.palomitacas.com/pelicula/ficha/p12335,12335,,,,
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,,,,
Alien: Covenant,https://www.palomitacas.com/pelicula/ficha/p126889,126889,,,,
Terminator 2: El juicio final,https://www.palomitacas.com/pelicula/ficha/p280,280,9.0,9.0,13 de diciembre - 2025,2025-12-13
Capricornio Uno,https://www.palomitacas.com/pelicula/ficha/p11935,11935,6.0,6.0,07 de diciembre - 2025,2025-12-07
La leyenda del Rey Cangrejo,https://www.palomitacas.com/pelicula/ficha/p833408,833408,,,,
Gaua,https://www.palomitacas.com/pelicula/ficha/p1367125,1367125,,,,
El guerrero rojo,https://www.palomitacas.com/pelicula/ficha/p9626,9626,,,,
Terminator,https://www.palomitacas.com/pelicula/ficha/p218,218,8.0,8.0,31 de octubre - 2025,2025-10-31
Flame Still Burns - A Dive Into the Paris Hardcore Scene,https://www.palomitacas.com/pelicula/ficha/p1127766,1127766,,,,
Blade,https://www.palomitacas.com/pelicula/ficha/p36647,36647,,,,
El señor de las bestias,https://www.palomitacas.com/pelicula/ficha/p16441,16441,,,,
TRON: Ares,https://www.palomitacas.com/pelicula/ficha/p533533,533533,,,,
Prácticamente magia,https://www.palomitacas.com/pelicula/ficha/p6435,6435,,,,
1,https://www.palomitacas.com/pelicula/ficha/p49568,49568,,,,
Los pasajeros del tiempo,https://www.palomitacas.com/pelicula/ficha/p24750,24750,,,,
Freejack (Sin identidad),https://www.palomitacas.com/pelicula/ficha/p9278,9278,,,,
Fahrenheit 451,https://www.palomitacas.com/pelicula/ficha/p1714,1714,6.0,6.0,03 de octubre - 2025,2025-10-05
2010: Odisea dos,https://www.palomitacas.com/pelicula/ficha/p4437,4437,,,,
El chip prodigioso,https://www.palomitacas.com/pelicula/ficha/p2614,2614,,,,
La ciudad sumergida,https://www.palomitacas.com/pelicula/ficha/p38267,38267,,,,
El caballero del dragón,https://www.palomitacas.com/pelicula/ficha/p72824,72824,,,,
"Conan, el destructor",https://www.palomitacas.com/pelicula/ficha/p9610,9610,6.0,6.0,13 de septiembre - 2025,2025-09-13
Mars Attacks!,https://www.palomitacas.com/pelicula/ficha/p75,75,,,,
D.A.R.Y.L.,https://www.palomitacas.com/pelicula/ficha/p16248,16248,,,,
Quinteto,https://www.palomitacas.com/pelicula/ficha/p45169,45169,,,,
Sangre de héroes,https://www.palomitacas.com/pelicula/ficha/p21512,21512,,,,
Slipstream (La furia del viento),https://www.palomitacas.com/pelicula/ficha/p22379,22379,,,,
La Torre Oscura,https://www.palomitacas.com/pelicula/ficha/p353491,353491,,,,
Мастер и Маргарита,https://www.palomitacas.com/pelicula/ficha/p586353,586353,,,,
La Tierra Errante II,https://www.palomitacas.com/pelicula/ficha/p842675,842675,,,,
刺杀小说家2,https://www.palomitacas.com/pelicula/ficha/p945801,945801,,,,
Spectral,https://www.palomitacas.com/pelicula/ficha/p324670,324670,,,,
Akumulátor 1,https://www.palomitacas.com/pelicula/ficha/p16977,16977,,,,
Πρωινή Περίπολος,https://www.palomitacas.com/pelicula/ficha/p76825,76825,,,,
Aliens: El regreso,https://www.palomitacas.com/pelicula/ficha/p679,679,7.5,7.5,04 de agosto - 2025,2025-08-04
Mars Express,https://www.palomitacas.com/pelicula/ficha/p586810,586810,8.0,8.0,31 de julio - 2025,2025-07-31
Me encontrarás en lo profundo del abismo,https://www.palomitacas.com/pelicula/ficha/p917281,917281,4.0,4.0,31 de julio - 2025,2025-07-31
Constantine: Ciudad de Demonios,https://www.palomitacas.com/pelicula/ficha/p539517,539517,7.0,7.0,31 de julio - 2025,2025-07-31
Superman Returns: el regreso,https://www.palomitacas.com/pelicula/ficha/p1452,1452,4.0,4.0,30 de julio - 2025,2025-07-30
Jefes de Estado,https://www.palomitacas.com/pelicula/ficha/p749170,749170,3.5,3.5,29 de julio - 2025,2025-07-29
Extinción,https://www.palomitacas.com/pelicula/ficha/p429415,429415,5.0,5.0,27 de julio - 2025,2025-07-27
El hombre de acero,https://www.palomitacas.com/pelicula/ficha/p49521,49521,6.5,6.5,26 de julio - 2025,2025-07-26
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,,,,
