title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Sonic 3: La película,https://www.palomitacas.com/pelicula/ficha/p939243,939243,,,,
Sonic 2: La película,https://www.palomitacas.com/pelicula/ficha/p675353,675353,,,,
La Navidad en sus manos 2,https://www.palomitacas.com/pelicula/ficha/p1196207,1196207,5.0,5.0,30 de diciembre - 2025,2025-12-30
Father Mother Sister Brother,https://www.palomitacas.com/pelicula/ficha/p1159206,1159206,,,,
Roofman,https://www.palomitacas.com/pelicula/ficha/p1242419,1242419,,,,
Frontera,https://www.palomitacas.com/pelicula/ficha/p1381155,1381155,,,,
La Vida Fuera,https://www.palomitacas.com/pelicula/ficha/p1310830,1310830,,,,
Eternity,https://www.palomitacas.com/pelicula/ficha/p1259102,1259102,,,,
Núremberg,https://www.palomitacas.com/pelicula/ficha/p1214931,1214931,,,,
Blue Moon,https://www.palomitacas.com/pelicula/ficha/p1299655,1299655,,,,
Mar i cel,https://www.palomitacas.com/pelicula/ficha/p1512555,1512555,,,,
Ciudad sin sueño,https://www.palomitacas.com/pelicula/ficha/p1313032,1313032,,,,
Todos los lados de la cama,https://www.palomitacas.com/pelicula/ficha/p1309272,1309272,,,,
La invasió dels bàrbars,https://www.palomitacas.com/pelicula/ficha/p1487159,1487159,,,,
Sintiéndolo mucho,https://www.palomitacas.com/pelicula/ficha/p1007698,1007698,7.0,7.0,27 de diciembre - 2025,2025-12-27
Extremoduro - Gira 2002,https://www.palomitacas.com/pelicula/ficha/p455626,455626,7.5,7.5,27 de diciembre - 2025,2025-12-27
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,,,,
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,,,,
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,,,,
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,,,,
Taylor Swift | The Eras Tour | The Final Show,https://www.palomitacas.com/pelicula/ficha/p1562010,1562010,,,,
The Christmas Baby,https://www.palomitacas.com/pelicula/ficha/p1547929,1547929,,,,
A Firefighter's Christmas Calendar,https://www.palomitacas.com/pelicula/ficha/p1580225,1580225,,,,
The Christmas Writer,https://www.palomitacas.com/pelicula/ficha/p1550233,1550233,,,,
Oh. What. Fun.,https://www.palomitacas.com/pelicula/ficha/p1261825,1261825,6.0,6.0,08 de diciembre - 2025,2025-12-24
One Four Three,https://www.palomitacas.com/pelicula/ficha/p740773,740773,6.0,6.0,07 de diciembre - 2025,2025-12-07
Flores para Antonio,https://www.palomitacas.com/pelicula/ficha/p1357349,1357349,,,,
Belén,https://www.palomitacas.com/pelicula/ficha/p1301844,1301844,7.5,7.5,27 de noviembre - 2025,2025-12-06
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,6.5,6.5,26 de noviembre - 2025,2025-11-30
Wicked: One Wonderful Night,https://www.palomitacas.com/pelicula/ficha/p1479945,1479945,7.0,7.0,20 de noviembre - 2025,2025-11-21
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,7.5,7.5,20 de noviembre - 2025,2025-11-20
Un año y un día,https://www.palomitacas.com/pelicula/ficha/p1410221,1410221,5.5,5.5,15 de noviembre - 2025,2025-11-15
"Vale la pena, de Dani Rovira",https://www.palomitacas.com/pelicula/ficha/p1506130,1506130,5.0,5.0,26 de octubre - 2025,2025-10-26
Pasionaria. Dolores Ibárruri,https://www.palomitacas.com/pelicula/ficha/p1459349,1459349,,,,
Extraño río,https://www.palomitacas.com/pelicula/ficha/p1025389,1025389,,,,
La tregua,https://www.palomitacas.com/pelicula/ficha/p1434973,1434973,,,,
Hasta que me quede sin voz,https://www.palomitacas.com/pelicula/ficha/p1513031,1513031,6.5,6.5,20 de octubre - 2025,2025-12-26
La cena,https://www.palomitacas.com/pelicula/ficha/p1433680,1433680,,,,
Un fantasma en la batalla,https://www.palomitacas.com/pelicula/ficha/p1275151,1275151,6.0,6.0,20 de octubre - 2025,2025-10-20
صوت هند رجب,https://www.palomitacas.com/pelicula/ficha/p1480382,1480382,7.5,7.5,10 de octubre - 2025,2025-12-01
"Jone, a veces",https://www.palomitacas.com/pelicula/ficha/p1440185,1440185,,,,
Mi amiga Eva,https://www.palomitacas.com/pelicula/ficha/p1297953,1297953,,,,
Un gran viaje atrevido y maravilloso,https://www.palomitacas.com/pelicula/ficha/p1241921,1241921,,,,
Chica Quinqui,https://www.palomitacas.com/pelicula/ficha/p1307648,1307648,,,,
Maspalomas,https://www.palomitacas.com/pelicula/ficha/p1400214,1400214,,,,
La frontera: el documental,https://www.palomitacas.com/pelicula/ficha/p1503682,1503682,6.5,6.5,27 de septiembre - 2025,2025-09-27
Miley Cyrus: Something Beautiful,https://www.palomitacas.com/pelicula/ficha/p1393017,1393017,6.0,6.0,26 de septiembre - 2025,2025-09-26
