title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Zatch Bell: El mamodo 101,https://www.palomitacas.com/pelicula/ficha/p404250,404250,,999.0,04 de febrero - 2020,2020-02-04
Todas las Pecas del Mundo,https://www.palomitacas.com/pelicula/ficha/p613183,613183,6.5,6.5,03 de enero - 2020,2020-01-03
Malditos bastardos,https://www.palomitacas.com/pelicula/ficha/p16869,16869,,,,
No respires,https://www.palomitacas.com/pelicula/ficha/p300669,300669,,,,
Wind River,https://www.palomitacas.com/pelicula/ficha/p395834,395834,,,,
Una voz silenciosa,https://www.palomitacas.com/pelicula/ficha/p378064,378064,,,,
Taxi Driver,https://www.palomitacas.com/pelicula/ficha/p103,103,,,,
Tokyo Godfathers,https://www.palomitacas.com/pelicula/ficha/p13398,13398,,,,
Cadena perpetua,https://www.palomitacas.com/pelicula/ficha/p278,278,,,,
El padrino: parte II,https://www.palomitacas.com/pelicula/ficha/p240,240,,,,
Parásitos,https://www.palomitacas.com/pelicula/ficha/p496243,496243,,,,
Érase una vez en… Hollywood,https://www.palomitacas.com/pelicula/ficha/p466272,466272,,,,
La leyenda de Klaus,https://www.palomitacas.com/pelicula/ficha/p508965,508965,,,,
Critters 2,https://www.palomitacas.com/pelicula/ficha/p10127,10127,,,,
Critters 4,https://www.palomitacas.com/pelicula/ficha/p12525,12525,,,,
Leroy y Stitch: La película,https://www.palomitacas.com/pelicula/ficha/p21316,21316,,,,
Critters,https://www.palomitacas.com/pelicula/ficha/p3980,3980,,,,
Iron Sky,https://www.palomitacas.com/pelicula/ficha/p10679,10679,,,,
Life (Vida),https://www.palomitacas.com/pelicula/ficha/p395992,395992,,,,
Titan A.E.,https://www.palomitacas.com/pelicula/ficha/p7450,7450,,,,
Stargate: Puerta a las estrellas,https://www.palomitacas.com/pelicula/ficha/p2164,2164,,,,
El quinto elemento,https://www.palomitacas.com/pelicula/ficha/p18,18,,,,
Armageddon,https://www.palomitacas.com/pelicula/ficha/p95,95,,,,
Zathura: Una aventura espacial,https://www.palomitacas.com/pelicula/ficha/p6795,6795,,,,
Frozen 2,https://www.palomitacas.com/pelicula/ficha/p330457,330457,9.0,9.0,26 de diciembre - 2019,2019-12-17
Jumanji: siguiente nivel,https://www.palomitacas.com/pelicula/ficha/p512200,512200,,,,
El bosque del piano,https://www.palomitacas.com/pelicula/ficha/p59298,59298,10.0,10.0,22 de noviembre - 2019,2019-11-22
La serie Divergente: Leal,https://www.palomitacas.com/pelicula/ficha/p262504,262504,0.5,0.5,06 de noviembre - 2019,2019-10-16
La familia Addams,https://www.palomitacas.com/pelicula/ficha/p481084,481084,8.5,8.5,06 de noviembre - 2019,2019-11-06
Maléfica: Maestra del Mal,https://www.palomitacas.com/pelicula/ficha/p420809,420809,,,,
Zombieland: Mata y remata,https://www.palomitacas.com/pelicula/ficha/p338967,338967,,,,
It Capítulo 2,https://www.palomitacas.com/pelicula/ficha/p474350,474350,,,,
Joker,https://www.palomitacas.com/pelicula/ficha/p475557,475557,10.0,10.0,18 de octubre - 2019,2019-11-04
Wonder Woman: Bloodlines,https://www.palomitacas.com/pelicula/ficha/p537055,537055,,,,
El Buen Sam,https://www.palomitacas.com/pelicula/ficha/p602609,602609,,,,
Fireworks,https://www.palomitacas.com/pelicula/ficha/p431819,431819,9.0,9.0,17 de octubre - 2019,2019-10-17
En la hierba alta,https://www.palomitacas.com/pelicula/ficha/p523139,523139,,,,
La roca,https://www.palomitacas.com/pelicula/ficha/p9802,9802,,,,
