title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Puñales por la espalda: El misterio de Glass Onion,https://www.palomitacas.com/pelicula/ficha/p661374,661374,6.5,6.5,08 de enero - 2023,2023-01-17
Enola Holmes 2,https://www.palomitacas.com/pelicula/ficha/p829280,829280,,,,
Avatar: El sentido del agua,https://www.palomitacas.com/pelicula/ficha/p76600,76600,7.5,7.5,21 de diciembre - 2022,2022-12-21
Black Panther: Wakanda Forever,https://www.palomitacas.com/pelicula/ficha/p505642,505642,6.0,6.0,21 de noviembre - 2022,2022-11-21
Mi amigo Dahmer,https://www.palomitacas.com/pelicula/ficha/p445040,445040,,,,
Secuestrado (Kidnap),https://www.palomitacas.com/pelicula/ficha/p293768,293768,,,,
Doce fuera de casa,https://www.palomitacas.com/pelicula/ficha/p9641,9641,,,,
Doce en casa,https://www.palomitacas.com/pelicula/ficha/p11007,11007,,,,
Mi novio falso,https://www.palomitacas.com/pelicula/ficha/p908762,908762,5.0,5.0,22 de julio - 2022,2022-07-22
Sin compromiso,https://www.palomitacas.com/pelicula/ficha/p41630,41630,,,,
Fast & Furious 7,https://www.palomitacas.com/pelicula/ficha/p168259,168259,,,,
Madagascar 2,https://www.palomitacas.com/pelicula/ficha/p10527,10527,,,,
Madagascar,https://www.palomitacas.com/pelicula/ficha/p953,953,,,,
Amor y otras drogas,https://www.palomitacas.com/pelicula/ficha/p43347,43347,,,,
Una cita con el pasado,https://www.palomitacas.com/pelicula/ficha/p294793,294793,,,,
Scream (Vigila quién llama),https://www.palomitacas.com/pelicula/ficha/p4232,4232,,,,
Scream 3,https://www.palomitacas.com/pelicula/ficha/p4234,4234,,,,
Scream 4,https://www.palomitacas.com/pelicula/ficha/p41446,41446,,,,
Scream 2,https://www.palomitacas.com/pelicula/ficha/p4233,4233,,,,
Matrix,https://www.palomitacas.com/pelicula/ficha/p603,603,,,,
Vengadores: La era de Ultrón,https://www.palomitacas.com/pelicula/ficha/p99861,99861,,,,
Ant-Man y la Avispa,https://www.palomitacas.com/pelicula/ficha/p363088,363088,,,,
Timadoras compulsivas,https://www.palomitacas.com/pelicula/ficha/p449562,449562,5.5,5.5,06 de julio - 2022,2022-07-06
Taxi a Gibraltar,https://www.palomitacas.com/pelicula/ficha/p542922,542922,4.0,4.0,06 de julio - 2022,2022-07-06
Triple frontera,https://www.palomitacas.com/pelicula/ficha/p399361,399361,,,,
Bajo el mismo techo,https://www.palomitacas.com/pelicula/ficha/p555657,555657,,,,
6 en la sombra,https://www.palomitacas.com/pelicula/ficha/p509967,509967,,,,
Tolkien,https://www.palomitacas.com/pelicula/ficha/p468224,468224,,,,
Érase una vez en… Hollywood,https://www.palomitacas.com/pelicula/ficha/p466272,466272,,,,
El caso de Richard Jewell,https://www.palomitacas.com/pelicula/ficha/p292011,292011,,,,
A dos metros de ti,https://www.palomitacas.com/pelicula/ficha/p527641,527641,,,,
Togo,https://www.palomitacas.com/pelicula/ficha/p606856,606856,,,,
Aguas oscuras,https://www.palomitacas.com/pelicula/ficha/p552178,552178,,,,
Adú,https://www.palomitacas.com/pelicula/ficha/p588009,588009,,,,
Digimon Adventure: Last Evolution Kizuna,https://www.palomitacas.com/pelicula/ficha/p571265,571265,,,,
¡Canta! 2,https://www.palomitacas.com/pelicula/ficha/p438695,438695,,,,
Cruella,https://www.palomitacas.com/pelicula/ficha/p337404,337404,,,,
Nadie,https://www.palomitacas.com/pelicula/ficha/p615457,615457,,,,
Vuelta al insti,https://www.palomitacas.com/pelicula/ficha/p800937,800937,,,,
Cyrano,https://www.palomitacas.com/pelicula/ficha/p730047,730047,,,,
Hotel Transilvania: Transformanía,https://www.palomitacas.com/pelicula/ficha/p585083,585083,,,,
Scream,https://www.palomitacas.com/pelicula/ficha/p646385,646385,6.0,6.0,06 de julio - 2022,2022-07-20
Interceptor,https://www.palomitacas.com/pelicula/ficha/p831946,831946,,,,
Las crónicas de Narnia: La travesía del viajero del alba,https://www.palomitacas.com/pelicula/ficha/p10140,10140,,,,
Las crónicas de Narnia: El príncipe Caspian,https://www.palomitacas.com/pelicula/ficha/p2454,2454,,,,
El Origen de la Sirenita,https://www.palomitacas.com/pelicula/ficha/p13676,13676,,,,
La sirenita 2: Regreso al mar,https://www.palomitacas.com/pelicula/ficha/p10898,10898,,,,
Piratas del Caribe: La venganza de Salazar,https://www.palomitacas.com/pelicula/ficha/p166426,166426,,,,
Piratas del Caribe: En mareas misteriosas,https://www.palomitacas.com/pelicula/ficha/p1865,1865,,,,
Centauro,https://www.palomitacas.com/pelicula/ficha/p852592,852592,,,,
El pasajero,https://www.palomitacas.com/pelicula/ficha/p399035,399035,,,,
